[fangmq@cn18%yhstar 1_sizeof]$ ./tb_thread 
conflictnum	blocks	threads	aver	min	max	(clocks)
4	224	256		252.938940	216.068497	255.914597
8	224	256		254.403980	224.362778	255.909134
16	224	256		254.257580	216.733612	255.879181
32	224	256		254.316035	216.024490	255.852615
1	256	256		250.928871	216.492203	255.910690
2	256	256		249.902531	216.823715	255.928665
4	256	256		250.850746	215.991943	255.928665
8	256	256		252.083253	216.263550	255.910172
16	256	256		253.193440	216.873184	255.871368
32	256	256		252.146909	215.885162	255.895584
1	288	256		251.746605	216.702362	255.926834
2	288	256		251.460387	216.583862	255.900528
4	288	256		252.401466	216.152359	255.954956
8	288	256		252.310293	216.162506	255.936996
16	288	256		252.391632	216.107559	255.872665
32	288	256		253.471137	218.139587	255.870331
1	320	256		254.623554	216.081528	255.894806
2	320	256		254.599231	216.877609	255.936218
4	320	256		254.613783	217.735168	255.911209
8	320	256		254.587078	216.037506	255.885956
16	320	256		254.583282	216.148972	255.869812
32	320	256		254.621682	218.695068	255.858093
1	352	256		253.744572	216.033340	255.897934
2	352	256		253.684662	216.302094	255.905228
4	352	256		254.569407	216.532562	255.954437
8	352	256		253.015925	216.402359	255.898972
16	352	256		253.047914	216.755997	255.896881
32	352	256		253.769243	216.738037	255.976578
1	384	256		254.663456	216.037506	255.886475
2	384	256		253.869021	215.907822	255.970062
4	384	256		253.105264	216.355225	255.965118
8	384	256		252.399303	216.276047	255.927872
16	384	256		253.842658	215.877609	255.916687
32	384	256		254.648698	217.897934	255.888031
1	416	256		255.392231	254.871368	255.921631
2	416	256		255.386124	254.841415	256.011719
4	416	256		255.370172	254.876312	255.984909
8	416	256		255.405739	254.931000	255.966934
16	416	256		255.409443	254.949234	255.915634
32	416	256		255.359951	254.805222	255.900009
1	448	256		254.093904	215.994537	255.950790
2	448	256		253.549519	216.316162	256.032318
4	448	256		254.115376	216.790375	255.975800
8	448	256		253.418163	216.070328	255.970840
16	448	256		254.750811	216.313812	255.944290
32	448	256		254.206534	216.810944	255.983871
1	480	256		254.848447	223.764587	255.970062
2	480	256		253.518933	216.589081	256.003906
4	480	256		254.180210	217.620331	256.008606
8	480	256		254.236453	217.765900	255.932312
16	480	256		254.781225	216.161987	256.009399
32	480	256		254.770979	218.062515	255.969025
1	512	256		254.373816	216.135162	255.979965
2	512	256		254.783306	216.763290	256.075287
4	512	256		254.873356	223.730743	255.990372
8	512	256		254.758677	216.839600	255.986465
16	512	256		254.199520	217.763550	255.968765
32	512	256		254.786788	218.854172	255.930222
1	544	256		254.279396	216.335434	255.974228
2	544	256		254.313484	216.135162	256.024231
4	544	256		254.297127	216.700531	255.997665
8	544	256		254.353562	218.009125	255.958862
16	544	256		254.316294	215.880737	255.936996
32	544	256		254.266723	216.563812	255.935684
1	576	256		254.303595	216.613556	255.944031
2	576	256		253.942459	216.406006	255.973969
4	576	256		254.341368	216.983871	255.985947
8	576	256		254.861193	216.910431	255.955475
16	576	256		254.866309	217.337250	256.011200
32	576	256		253.378853	216.550537	255.950531
1	608	256		254.920996	223.784653	255.964081
2	608	256		254.810748	215.922150	256.001587
4	608	256		254.830032	216.827621	255.980743
8	608	256		254.916204	223.739334	256.008087
16	608	256		254.836125	217.800537	256.044800
32	608	256		254.814423	217.606781	255.991425
1	640	256		255.289908	254.721375	255.947662
2	640	256		254.426830	216.170319	256.051331
4	640	256		254.461952	216.312515	255.999237
8	640	256		254.446971	217.042206	255.970062
16	640	256		254.412675	216.514069	255.940903
32	640	256		254.477133	215.947662	255.976318
1	672	256		254.432636	216.540634	255.964859
2	672	256		254.411449	216.114853	255.983612
4	672	256		254.907848	216.117462	255.917206
8	672	256		254.002018	216.497925	255.906265
16	672	256		254.478391	216.546631	255.969543
