[fangmq@cn18%yhstar memory_latency]$ ./latency 
step:register	 constant	 shared	 local	 global	 texture
419:	0.221354	104.880997	47.730732	204.500015	219.259384	109.900787
420:	0.188542	120.949745	47.789066	202.476059	217.416153	105.931778
421:	0.221354	121.081253	47.789066	204.459641	219.392456	109.894012
422:	0.156771	103.820839	47.714848	203.505737	218.285172	105.944794
423:	0.157292	121.091415	47.738285	205.488037	220.390381	109.900528
424:	0.221354	85.376564	47.738285	203.500015	218.420578	105.931778
425:	0.182813	121.085426	47.738285	205.466675	220.229431	109.913544
426:	0.158854	121.086723	47.552345	203.495850	218.420837	105.948441
427:	0.222396	121.088287	47.738285	205.475006	220.381256	109.901047
428:	0.185938	121.086983	47.714848	203.490631	218.267975	105.948700
429:	0.150000	121.085426	47.730732	204.465637	219.389069	109.909119
430:	0.225000	121.082558	47.738285	202.515900	217.388290	105.944534
431:	0.190625	62.850266	47.756775	204.486725	219.261993	109.915894
432:	0.189323	121.078392	47.760941	202.482300	217.389862	105.934120
433:	0.157292	121.085426	47.435680	205.470840	220.363556	109.904694
434:	0.152604	121.083076	47.789066	202.484390	217.313812	105.950264
435:	0.160156	121.087242	47.435680	205.491943	220.397675	109.903130
436:	0.222656	121.090111	47.714848	203.495850	218.392197	105.933075
437:	0.149740	121.083076	47.730732	204.504440	219.333344	109.899483
438:	0.222656	103.165108	47.738285	203.505219	218.416672	105.945061
439:	0.157292	58.329952	47.567711	205.481522	220.380997	109.909378
440:	0.191406	121.075790	47.789066	202.512772	217.358337	105.934380
441:	0.190885	121.082298	47.760941	204.475525	219.397400	109.888290
442:	0.160156	121.068237	47.727345	203.496887	218.388290	105.939072
443:	0.151823	103.196098	47.730732	204.485168	219.378403	109.904953
444:	0.283854	121.088028	47.789066	203.522141	218.407303	105.946358
445:	0.190104	76.895317	47.730732	204.467972	219.344284	109.891411
446:	0.218750	121.083603	47.727345	202.519028	217.406784	105.938286
447:	0.225781	90.099747	47.406513	205.462509	220.393768	109.895058
448:	0.188542	121.085159	47.789066	202.516678	217.432297	105.949745
449:	0.222135	121.084900	47.435680	205.455734	220.393768	109.891930
450:	0.191406	121.081520	47.789066	202.508606	217.403915	105.943497
451:	0.149740	121.084122	47.730732	204.495056	219.365112	109.897400
452:	0.194271	121.084122	47.726566	202.471878	217.415115	105.947662
453:	0.255729	121.086464	47.406513	205.471893	220.388550	109.904694
454:	0.158854	94.167191	47.738285	203.500015	218.357300	105.941933
455:	0.253646	53.753910	47.789066	204.487503	219.375793	109.891411
456:	0.221354	85.169800	47.552345	203.502090	218.423706	105.942978
457:	0.225781	121.090370	47.406513	205.456268	220.364334	109.903915
458:	0.257292	121.090111	47.552345	203.505219	218.415375	105.945061
459:	0.157292	121.085426	47.435680	205.476318	220.376312	109.904175
460:	0.185938	121.091415	47.552345	203.501053	218.398712	105.938026
461:	0.149740	121.079430	47.730732	204.467972	219.389862	109.889069
462:	0.221875	112.157295	47.789066	202.486465	217.407822	105.935165
463:	0.255729	121.088547	47.435680	205.460434	220.367203	109.896622
464:	0.255469	121.077347	47.760941	202.486465	217.424744	105.945839
465:	0.222656	94.316154	47.734116	205.466156	220.385162	109.903130
466:	0.223177	103.165108	47.738285	203.485428	218.410690	105.952087
467:	0.226302	121.089066	47.435680	205.479172	220.394028	109.911461
468:	0.183333	120.957817	47.738285	203.502090	218.419022	105.948967
469:	0.193490	116.673706	47.756775	204.491943	219.352615	109.902351
470:	0.157292	121.092712	47.531513	203.496887	218.414597	105.945061
471:	0.184896	121.088547	47.734116	205.480225	220.386734	109.902092
472:	0.151302	85.217972	47.760941	202.509644	217.374237	105.940887
473:	0.151823	71.739067	47.793232	204.479431	219.409912	109.894279
474:	0.223958	121.075264	47.760941	202.473969	217.403397	105.941673
475:	0.157292	121.085426	47.553909	205.464081	220.376831	109.897919
476:	0.225000	121.056519	47.760941	202.494019	217.421371	105.951050
477:	0.222135	121.086464	47.406513	205.479431	220.378662	109.891930
478:	0.187760	67.577866	47.793232	202.477097	217.395844	105.953651
479:	0.191406	121.073708	47.789066	204.464600	219.384903	109.902870
480:	0.191406	121.076569	47.760941	202.454178	217.417725	105.943497
481:	0.157292	116.622398	47.406513	205.465637	220.351318	109.903389
482:	0.160156	58.364586	47.531513	203.479691	218.492462	105.947144
483:	0.222917	121.087509	47.406513	205.467712	220.398972	109.898964
484:	0.151302	121.077873	47.789066	202.485428	217.375534	105.950005
485:	0.157292	95.900528	47.553909	205.481522	220.383606	109.903130
486:	0.183333	121.085945	47.727345	203.512772	218.385956	105.931778
487:	0.157292	107.667191	47.734116	205.466156	220.350266	109.904694
488:	0.154167	85.289848	47.726566	202.511734	217.415894	105.938805
489:	0.151823	121.080215	47.730732	204.440628	219.388809	109.895317
490:	0.160156	121.073441	47.714848	203.490631	218.354706	105.943497
491:	0.157292	107.706512	47.406513	205.459381	220.396622	109.906776
492:	0.185938	103.207817	47.714848	203.494797	218.399231	105.950523
493:	0.153385	121.076050	47.730732	204.481522	219.361465	109.903915
494:	0.157292	94.282555	47.531513	203.503128	218.400269	105.942711
495:	0.255208	121.086983	47.406513	205.481522	220.397141	109.899223
496:	0.157292	121.085945	47.714848	203.515640	218.377090	105.945061
497:	0.151823	121.083603	47.789066	204.479172	219.398193	109.907555
498:	0.191406	121.003914	47.738285	202.505997	217.406784	105.947144
499:	0.190885	121.081520	47.760941	204.454178	219.385681	109.902351
500:	0.153906	121.082039	47.726566	202.462509	217.407562	105.947662
501:	0.221354	121.078133	47.730732	204.499756	219.392197	109.893494
502:	0.252083	121.080215	47.760941	202.494797	217.386215	105.931259
503:	0.157292	121.093239	47.738285	205.455215	220.403397	109.906258
504:	0.153906	121.078392	47.793232	202.514847	217.409393	105.937508
505:	0.152604	121.079170	47.730732	204.494019	219.376831	109.897659
506:	0.198438	121.079430	47.726566	202.510162	217.422928	105.942978
507:	0.255208	121.088028	47.406513	205.458344	220.398193	109.890373
508:	0.160156	121.078651	47.760941	202.499222	217.393768	105.940628
509:	0.157292	103.109901	47.406513	205.464081	220.391678	109.897919
510:	0.188542	85.103653	47.789066	202.486465	217.401840	105.924484
511:	0.157292	67.118752	47.435680	205.468765	220.388031	109.905212
512:	0.157292	48.280731	47.531513	47.904171	219.203140	105.916931
513:	0.222396	67.101303	47.406513	205.455215	220.385422	109.881775
514:	0.150000	85.082039	47.789066	202.513290	217.391418	105.903915
515:	0.157292	103.093758	47.435680	205.466675	220.385162	109.870316
516:	0.224479	121.079430	47.760941	202.475006	217.408081	105.916412
517:	0.160156	121.091675	47.406513	205.460434	220.363815	109.873444
518:	0.156771	121.089592	47.531513	203.471878	218.393234	105.919273
519:	0.221354	121.075790	47.738285	204.463547	219.385681	109.871620
520:	0.158854	121.089592	47.531513	203.504181	218.377090	105.911461
521:	0.253125	121.085426	47.730732	204.485687	219.393234	109.861984
522:	0.256771	121.088547	47.531513	203.490631	218.402359	105.912247
523:	0.221354	121.083336	47.789066	204.484650	219.356262	109.862762
524:	0.160156	121.077087	47.714848	203.526047	218.397934	105.913284
525:	0.226302	104.271881	47.406513	205.458344	220.391418	109.862503
526:	0.152604	121.078911	47.789066	202.512772	217.391937	105.913284
527:	0.157292	121.056259	47.738285	205.463547	220.385956	109.873962
528:	0.158854	121.090111	47.552345	203.542984	218.397934	105.905998
529:	0.190625	116.599747	47.760941	204.484909	219.356003	109.884117
530:	0.151302	121.079170	47.760941	202.479172	217.408081	105.914848
531:	0.150000	54.176567	47.760941	204.481262	219.388290	109.863029
532:	0.229948	121.092194	47.738285	203.493759	218.383865	105.908340
533:	0.184896	121.093239	47.730732	205.497147	220.383865	109.869537
534:	0.185938	76.379692	47.738285	203.528397	218.398972	105.914589
535:	0.222917	121.088287	47.567711	205.464600	220.377609	109.877090
536:	0.194792	121.078133	47.760941	202.506516	217.374237	105.907036
537:	0.186198	121.090889	47.730732	205.471893	220.383087	109.871620
538:	0.194010	121.075790	47.760941	202.514847	217.366150	105.909637
539:	0.157292	53.921616	47.435680	205.468765	220.444809	109.850006
540:	0.225000	121.089066	47.552345	203.497925	218.392975	105.904694
541:	0.184896	121.088287	47.435680	205.459381	220.379959	109.867714
542:	0.185938	86.459900	47.738285	203.453140	218.399490	105.913544
543:	0.151823	121.075264	47.760941	204.484909	219.388809	109.863548
544:	0.253125	121.077873	47.789066	202.480484	217.395844	105.918495
545:	0.152865	121.091675	47.738285	205.458344	220.388550	109.884117
546:	0.160156	58.358337	47.738285	203.498962	218.316162	105.911987
547:	0.188542	107.617455	47.730732	204.478134	219.388290	109.864853
548:	0.149740	121.080994	47.726566	202.511734	217.419281	105.914330
549:	0.152604	121.080215	47.793232	204.482040	219.385162	109.872139
550:	0.153906	121.081520	47.760941	202.502869	217.396362	105.921356
551:	0.186198	94.915367	47.406513	205.484650	220.376572	109.863808
552:	0.158854	121.086983	47.552345	203.525269	218.422668	105.904694
553:	0.157292	121.086983	47.738285	205.459381	220.388031	109.870842
554:	0.150000	121.079956	47.789066	202.517975	217.415634	105.913284
555:	0.220313	121.079430	47.738285	204.482559	219.383606	109.855476
556:	0.188542	121.072144	47.760941	202.483337	217.395584	105.912247
557:	0.157292	121.090889	47.406513	205.470322	220.381775	109.872925
558:	0.157292	76.208336	47.727345	203.504181	218.427094	105.905731
559:	0.155990	71.783340	47.553909	205.465637	220.375275	109.875526
560:	0.160156	121.084122	47.738285	203.515640	218.422668	105.915894
561:	0.222917	121.088547	47.738285	205.479172	220.380737	109.864067
562:	0.160156	121.093239	47.738285	203.498962	218.373184	105.909637
563:	0.152865	121.080215	47.435680	204.492722	219.396622	109.869537
564:	0.223958	121.079956	47.760941	202.502350	217.413559	105.915108
565:	0.222135	57.874481	47.738285	205.457306	220.364075	109.878387
566:	0.221354	121.086464	47.552345	203.490631	218.419800	105.904694
567:	0.190885	121.077347	47.730732	204.488037	219.380997	109.863289
568:	0.257031	121.088547	47.531513	203.503128	218.379181	105.909378
569:	0.151823	58.375004	47.760941	204.483597	219.401047	109.866936
570:	0.185938	121.083336	47.738285	203.496368	218.407303	105.917191
571:	0.157292	121.088547	47.435680	205.470840	220.350800	109.879173
572:	0.194792	121.079430	47.760941	202.520065	217.406525	105.921097
573:	0.224479	112.138809	47.760941	204.499222	219.390381	109.870842
574:	0.223958	112.139847	47.726566	202.480225	217.391678	105.908859
575:	0.222135	105.563545	47.567711	205.470840	220.388290	109.876045
576:	0.185938	121.078911	47.738285	202.542984	217.482300	105.919540
577:	0.187760	121.091675	47.553909	205.458344	220.329956	109.872398
578:	0.219792	121.082558	47.789066	202.505478	217.413559	105.912766
579:	0.222396	121.082817	47.738285	204.493500	219.383347	109.877350
580:	0.191406	121.082558	47.760941	202.480225	217.333862	105.912766
581:	0.188542	121.079956	47.734116	204.475006	219.390121	109.870575
582:	0.151302	121.083076	47.760941	202.507034	217.411728	105.911201
583:	0.222396	116.609642	47.406513	205.477097	220.238815	109.870316
584:	0.152604	85.154694	47.760941	202.483337	217.404434	105.909637
585:	0.157292	53.727608	47.406513	205.465637	220.334381	109.873962
586:	0.156771	76.163544	47.738285	203.507309	218.350006	105.914848
587:	0.155990	107.588547	47.738285	205.471893	220.384644	109.869797
588:	0.188542	121.073181	47.760941	202.476059	217.422928	105.921623
589:	0.222135	121.046883	47.738285	205.446884	220.269287	109.870842
590:	0.223958	121.077873	47.760941	202.508606	217.426315	105.892456
591:	0.189323	121.078911	47.793232	204.483078	219.386993	109.884644
592:	0.158854	121.086464	47.738285	203.516159	218.232040	105.913544
593:	0.184896	104.311462	47.738285	205.459381	220.375015	109.876305
594:	0.223958	121.078392	47.730732	202.493759	217.415634	105.912766
595:	0.187240	107.683861	47.435680	205.456268	220.237244	109.877090
596:	0.225000	121.062508	47.730732	202.498184	217.410690	105.903389
597:	0.221094	121.083076	47.730732	204.483597	219.385681	109.869019
598:	0.185938	121.092712	47.793232	203.496887	218.278137	105.900528
599:	0.221354	121.080475	47.730732	204.483597	219.396881	109.861725
600:	0.223958	121.079697	47.738285	202.511734	217.402618	105.915894
601:	0.222396	121.078911	47.730732	204.505737	219.272675	109.869019
602:	0.257292	76.301048	47.552345	203.526306	218.385956	105.909378
603:	0.222396	98.687248	47.553909	205.463547	220.380478	109.867714
604:	0.151302	121.083336	47.730732	202.508606	217.270584	105.903389
605:	0.183333	104.886467	47.553909	205.475266	220.387253	109.868233
606:	0.198177	121.080475	47.760941	202.510681	217.395325	105.903915
607:	0.182292	71.990105	47.567711	205.469803	220.252350	109.863029
608:	0.221875	121.078911	47.726566	202.475266	217.420837	105.910423
609:	0.221354	120.970322	47.760941	204.457565	219.386475	109.872139
610:	0.160156	121.052872	47.552345	203.500015	218.306259	105.908600
611:	0.219531	121.073708	47.760941	204.488815	219.398193	109.857040
612:	0.198438	121.070839	47.793232	202.512772	217.376831	105.912247
613:	0.191927	112.094795	47.789066	204.486725	219.351318	109.871620
614:	0.188281	67.236198	47.760941	202.457306	217.411209	105.913544
615:	0.253125	76.199745	47.760941	204.480743	219.380478	109.876831
616:	0.160156	121.092712	47.727345	203.501053	218.288300	105.915634
617:	0.193490	121.075790	47.760941	204.501312	219.388550	109.881516
618:	0.188281	121.083076	47.726566	202.523712	217.388550	105.922920
619:	0.155990	103.260941	47.406513	205.462509	220.301056	109.867455
620:	0.224479	121.077347	47.760941	202.486465	217.412247	105.910683
621:	0.190885	112.729172	47.738285	205.459381	220.367203	109.872139
622:	0.150000	121.079956	47.760941	202.495850	217.376053	105.908859
623:	0.151823	80.794273	47.760941	204.458344	219.393234	109.875786
624:	0.157292	121.088028	47.738285	203.514587	218.398453	105.921356
625:	0.220833	121.082558	47.789066	204.476318	219.362518	109.860420
626:	0.185938	86.484901	47.714848	203.484909	218.395065	105.922920
627:	0.222396	121.068237	47.730732	205.453140	220.382828	109.880737
628:	0.160156	121.089592	47.714848	203.502090	218.377869	105.906517
629:	0.221354	116.595322	47.756775	204.479431	219.392197	109.873703
630:	0.185938	58.322918	47.552345	203.494797	218.339600	105.915634
631:	0.190885	98.673439	47.738285	205.477097	220.338806	109.870842
632:	0.225000	121.092712	47.793232	203.497925	218.403656	105.909904
633:	0.188542	121.075790	47.793232	204.456253	219.374496	109.867973
634:	0.149740	103.217453	47.760941	202.478394	217.391159	105.901566
635:	0.183073	121.088547	47.738285	205.477097	220.402100	109.875008
636:	0.198177	103.213028	47.726566	202.499756	217.386215	105.917976
637:	0.222396	121.085159	47.760941	204.474228	219.388031	109.882561
638:	0.191406	121.080475	47.726566	202.507568	217.403137	105.904434
639:	0.183333	121.090889	47.734116	205.464600	220.362518	109.868759
640:	0.223958	120.547142	47.730732	202.547150	217.688553	105.905731
641:	0.151823	108.034119	47.793232	204.493500	219.378922	109.883598
642:	0.254167	121.096359	47.738285	203.495850	218.383087	105.900009
643:	0.157292	121.095055	47.738285	205.482559	220.395844	109.871880
644:	0.185938	121.089066	47.789066	203.502090	218.418243	105.901566
645:	0.157292	121.092972	47.553909	205.460953	220.374756	109.859383
646:	0.253125	112.146622	47.760941	202.516418	217.414597	105.918495
647:	0.182813	71.864586	47.406513	205.461472	220.395065	109.883858
648:	0.223958	121.075005	47.789066	202.507568	217.391159	105.914848
649:	0.221094	121.063545	47.738285	204.483597	219.392456	109.866936
650:	0.185938	121.094795	47.727345	203.500015	218.396622	105.915108
651:	0.221354	112.161461	47.730732	204.473450	219.380219	109.859901
652:	0.188802	85.819016	47.793232	202.478134	217.407562	105.918495
653:	0.190885	121.085159	47.756775	204.495056	219.384384	109.871620
654:	0.189323	121.085945	47.789066	202.516937	217.385162	105.916412
655:	0.151823	90.280212	47.793232	204.457306	219.382050	109.869797
656:	0.191406	121.079697	47.730732	202.483337	217.423965	105.916412
657:	0.188542	121.078392	47.793232	204.475266	219.339340	109.877090
658:	0.185938	85.958595	47.738285	203.505219	218.402618	105.920319
659:	0.184896	121.087509	47.738285	205.464600	220.403915	109.866669
660:	0.253385	121.076828	47.730732	202.501312	217.390900	105.922661
661:	0.226302	98.760422	47.738285	205.460434	220.390381	109.861206
662:	0.157292	121.088547	47.738285	203.480225	218.396103	105.919273
663:	0.157292	112.205475	47.435680	205.463547	220.380997	109.871880
664:	0.152865	121.019539	47.793232	202.496109	217.401840	105.909637
665:	0.188542	121.076309	47.760941	204.474228	219.392456	109.875786
666:	0.153906	121.080475	47.760941	202.488556	217.364853	105.909119
667:	0.151823	121.059639	47.789066	204.483337	219.383347	109.869019
668:	0.153906	121.078911	47.726566	202.488815	217.394806	105.906258
669:	0.222917	121.060425	47.553909	204.472672	219.370590	109.872398
670:	0.225000	121.086464	47.738285	203.509384	218.392197	105.915894
671:	0.190104	121.081253	47.793232	204.485687	219.380219	109.877869
672:	0.188542	121.072662	47.531513	202.476837	217.408340	105.908081
673:	0.157292	121.085945	47.553909	205.466675	220.380478	109.881516
674:	0.187760	121.086983	47.531513	203.496887	218.399490	105.916931
675:	0.155990	121.084381	47.738285	205.454178	220.378403	109.884384
676:	0.182813	121.089066	47.552345	203.520584	218.412506	105.903648
677:	0.157292	121.085945	47.406513	205.482559	220.390121	109.872398
678:	0.183594	112.108856	47.738285	203.511215	218.396881	105.917450
679:	0.157292	98.608337	47.553909	205.464600	220.379700	109.857300
680:	0.185938	85.130211	47.531513	203.496887	218.414856	105.911461
681:	0.157292	71.650261	47.738285	205.484650	220.366150	109.863548
682:	0.153906	58.132294	47.760941	202.493759	217.352097	105.904953
683:	0.157292	53.618233	47.406513	205.462509	220.392456	109.869278
684:	0.194792	67.120834	47.760941	202.472931	217.384384	105.910423
685:	0.160156	80.631516	47.553909	205.461990	220.390640	109.865891
686:	0.158854	94.125526	47.552345	203.482300	218.406784	105.918755
687:	0.190885	107.613289	47.793232	204.483597	219.376572	109.862244
688:	0.186198	121.087509	47.714848	203.514587	218.423706	105.912766
689:	0.255729	121.086464	47.406513	205.491943	220.385422	109.876572
690:	0.185938	121.086464	47.738285	203.483337	218.403397	105.905472
691:	0.219531	121.075264	47.789066	204.493240	219.388031	109.861465
692:	0.221354	121.084381	47.738285	203.502090	218.413300	105.917191
693:	0.188542	121.075790	47.760941	204.499222	219.376831	109.874748
694:	0.186458	121.084122	47.531513	203.496887	218.411209	105.913025
695:	0.188542	121.088028	47.567711	205.454178	220.395844	109.869019
696:	0.222656	121.087509	47.727345	203.500015	218.374237	105.912766
697:	0.153385	121.082558	47.730732	204.475266	219.384125	109.879951
698:	0.156771	121.064072	47.531513	203.491150	218.421112	105.920319
699:	0.184896	121.080734	47.738285	205.444809	220.381256	109.864853
700:	0.149740	121.078911	47.730732	202.481262	217.400009	105.912506
701:	0.184896	113.290108	47.738285	205.463547	220.394547	109.876045
702:	0.156771	121.011467	47.552345	203.513809	218.391418	105.916672
703:	0.157292	121.086464	47.406513	205.479431	220.388290	109.867973
704:	0.223177	121.086464	47.552345	203.513550	218.481781	105.906258
705:	0.157292	121.084381	47.738285	205.458344	220.353394	109.867714
706:	0.225000	76.459122	47.793232	202.516937	217.407562	105.914330
707:	0.155990	121.088547	47.730732	205.489594	220.389069	109.876305
708:	0.160156	121.088287	47.738285	203.495850	218.420059	105.914589
709:	0.151823	60.697399	47.793232	204.484650	219.399490	109.870056
710:	0.154167	121.088287	47.727345	203.487503	218.419281	105.911461
711:	0.152604	121.080475	47.730732	204.485687	219.380478	109.877869
712:	0.149740	85.835159	47.760941	202.504959	217.410690	105.922142
713:	0.222396	116.595840	47.738285	204.483871	219.394806	109.874222
714:	0.255729	121.077347	47.789066	202.525269	217.397934	105.909119
715:	0.225781	121.084381	47.734116	205.471893	220.362244	109.864853
716:	0.151302	121.081520	47.789066	202.478134	217.415634	105.915367
717:	0.220313	69.542969	47.760941	204.437256	219.375534	109.874748
718:	0.154167	121.078392	47.760941	202.511734	217.415634	105.916412
719:	0.155990	121.088547	47.406513	205.448975	220.381775	109.872925
720:	0.189323	121.082039	47.730732	202.511734	217.396622	105.919014
721:	0.222396	121.083336	47.567711	205.464600	220.384384	109.869797
722:	0.152865	112.134644	47.760941	202.511215	217.397400	105.901306
723:	0.157292	62.841671	47.789066	205.466675	220.418762	109.864326
724:	0.189323	121.078392	47.738285	202.503403	217.413300	105.905731
725:	0.190885	121.078911	47.730732	204.469025	219.392975	109.865631
726:	0.185938	121.086983	47.738285	203.503128	218.389862	105.915367
727:	0.155990	121.035164	47.435680	205.468765	220.383865	109.877869
728:	0.151302	120.988029	47.714848	202.484390	217.408600	105.907295
729:	0.152604	121.082298	47.730732	204.456253	219.372925	109.849747
730:	0.185938	121.085159	47.738285	203.484390	218.423706	105.916153
731:	0.226302	76.266930	47.553909	205.453140	220.384125	109.866409
732:	0.153906	85.216408	47.760941	202.476059	217.386475	105.912247
733:	0.183594	121.088287	47.435680	205.455215	220.375015	109.869797
734:	0.229948	121.091415	47.714848	203.493759	218.408600	105.905212
735:	0.155990	121.050789	47.553909	205.467712	220.331528	109.867455
736:	0.183073	121.091148	47.552345	203.453140	218.416153	105.913284
737:	0.222396	80.931778	47.553909	205.460953	220.406784	109.880211
738:	0.252083	121.082558	47.760941	202.508606	217.345840	105.917191
739:	0.150000	121.076050	47.756775	204.479965	219.400787	109.871101
740:	0.150000	121.073708	47.760941	202.480743	217.390900	105.919014
741:	0.188542	121.077873	47.756775	204.475006	219.268234	109.870842
742:	0.194531	121.072922	47.760941	202.485428	217.401581	105.920059
743:	0.157292	121.087509	47.567711	205.453140	220.388290	109.866669
744:	0.158854	85.207039	47.738285	203.497925	218.258865	105.928131
745:	0.191927	62.738804	47.730732	204.460434	219.385422	109.874481
746:	0.256771	112.106255	47.738285	203.489594	218.394806	105.910423
747:	0.151823	121.079430	47.789066	204.479691	219.279953	109.870575
748:	0.186458	121.084900	47.552345	203.497925	218.395584	105.915108
749:	0.221354	121.025009	47.756775	204.480743	219.388290	109.874481
750:	0.156771	121.087769	47.738285	203.494797	218.246887	105.924225
751:	0.152604	59.160679	47.730732	204.475266	219.391678	109.866936
752:	0.185417	121.087509	47.552345	203.514587	218.388290	105.917976
753:	0.252604	121.076309	47.789066	204.435684	219.259125	109.879433
754:	0.156771	94.805214	47.552345	203.494797	218.396362	105.911461
755:	0.222917	89.729431	47.406513	205.458344	220.404175	109.864326
756:	0.221875	121.078911	47.760941	202.487244	217.264069	105.916931
757:	0.149740	121.024742	47.738285	204.486206	219.386475	109.863289
758:	0.221875	121.062248	47.760941	202.495056	217.409119	105.902351
759:	0.151823	107.672661	47.756775	204.481522	219.254959	109.875786
760:	0.151302	121.079956	47.760941	202.507568	217.411728	105.914848
761:	0.153385	98.774742	47.760941	204.482040	219.381516	109.865631
762:	0.188542	121.034378	47.738285	203.480225	218.266159	105.923447
763:	0.151823	121.080215	47.553909	204.479691	219.406525	109.861206
764:	0.149740	121.078911	47.730732	202.468765	217.387772	105.907555
765:	0.184896	121.092194	47.435680	205.465897	220.289337	109.879951
766:	0.221354	121.095322	47.531513	203.492722	218.398712	105.911461
767:	0.157292	121.090370	47.730732	205.462509	220.371887	109.867455
768:	0.223958	120.297142	47.730732	201.790375	217.561996	105.911201
769:	0.221354	121.081253	47.760941	204.485687	219.391159	109.866936
770:	0.158854	121.089592	47.714848	203.493759	218.366425	105.916412
771:	0.150000	121.093239	47.435680	205.467712	220.404694	109.866936
772:	0.183073	121.094276	47.552345	203.498962	218.402878	105.920319
773:	0.222656	121.095840	47.738285	205.458862	220.367462	109.870842
774:	0.191927	121.083336	47.789066	202.477097	217.397934	105.895317
775:	0.151823	120.946098	47.756775	204.481522	219.392456	109.877869
776:	0.152604	121.083862	47.726566	202.513809	217.358871	105.901047
777:	0.252604	94.181519	47.730732	204.494797	219.400269	109.869019
778:	0.194010	121.045578	47.789066	202.510162	217.403915	105.907036
779:	0.225781	121.095322	47.406513	205.444809	220.379700	109.877090
780:	0.188542	67.386719	47.789066	202.580475	217.398193	105.916931
781:	0.193490	121.079430	47.760941	204.491943	219.393234	109.867714
782:	0.156771	121.090630	47.738285	203.494797	218.384644	105.914589
783:	0.155990	69.710419	47.738285	205.460953	220.399490	109.876045
784:	0.156771	121.096878	47.738285	203.514587	218.389069	105.913811
785:	0.157292	121.086464	47.738285	205.447922	220.374496	109.866936
786:	0.156771	121.093758	47.738285	203.502090	218.398972	105.901566
787:	0.157292	89.726570	47.738285	205.470840	220.379959	109.879433
788:	0.186198	67.263283	47.727345	203.503128	218.398193	105.906258
789:	0.157292	121.090370	47.789066	205.460953	220.384125	109.869537
790:	0.223958	121.077873	47.730732	202.515900	217.408340	105.907822
791:	0.151823	121.053650	47.760941	204.455475	219.370056	109.863808
792:	0.188542	121.078392	47.760941	202.479172	217.403915	105.906517
793:	0.222396	80.904953	47.760941	204.487778	219.405487	109.863808
794:	0.149740	121.023705	47.789066	202.512253	217.369019	105.911987
795:	0.190104	121.073181	47.760941	204.490631	219.389069	109.866409
796:	0.194792	85.255470	47.760941	202.473969	217.408081	105.909904
797:	0.157292	94.223442	47.567711	205.463547	220.366150	109.866669
798:	0.186458	121.088547	47.552345	203.527359	218.386475	105.911728
799:	0.149740	121.089333	47.738285	205.454178	220.390381	109.875008
800:	0.191927	121.078911	47.726566	202.453140	217.406525	105.911461
801:	0.184896	89.856255	47.734116	205.464600	220.389587	109.867714
802:	0.257292	112.117973	47.793232	202.501053	217.406784	105.907295
803:	0.222135	121.069801	47.406513	205.475006	220.363815	109.863029
804:	0.185938	121.096359	47.738285	203.487503	218.407822	105.908340
805:	0.225781	103.810944	47.435680	205.461472	220.380478	109.865372
806:	0.157292	121.087509	47.793232	203.496887	218.372406	105.913544
807:	0.222917	85.433861	47.567711	205.457306	220.378922	109.880211
808:	0.160156	121.082558	47.714848	203.503128	218.390381	105.902092
809:	0.157292	121.086983	47.435680	205.466675	220.376312	109.870842
810:	0.253385	112.175789	47.726566	202.516937	217.416931	105.916412
811:	0.188542	121.074226	47.738285	204.490372	219.393234	109.882034
812:	0.187760	121.086464	47.727345	203.492722	218.398453	105.910423
813:	0.190885	121.078392	47.730732	204.446106	219.390121	109.868492
814:	0.284375	121.087769	47.714848	203.506256	218.409912	105.924225
815:	0.222135	121.086983	47.738285	205.476059	220.382050	109.885422
816:	0.188542	121.076309	47.789066	202.482300	217.383606	105.902351
817:	0.184896	98.683342	47.738285	205.456268	220.390381	109.861984
818:	0.219271	76.172661	47.760941	202.483337	217.396362	105.914070
819:	0.222396	53.679169	47.730732	204.483597	219.314072	109.868492
820:	0.158854	67.150787	47.531513	203.540634	218.406525	105.903389
821:	0.150000	89.614845	47.756775	204.490891	219.371109	109.869019
822:	0.223958	112.090630	47.738285	203.511734	218.419800	105.913025
823:	0.150000	121.080994	47.756775	204.478653	219.384903	109.867714
824:	0.191406	121.078911	47.760941	202.504959	217.394287	105.904434
825:	0.222917	121.084122	47.730732	204.463806	219.389069	109.866409
826:	0.185938	121.083862	47.738285	203.489594	218.421890	105.923706
827:	0.149740	121.060684	47.789066	204.455475	219.364334	109.870056
828:	0.157292	121.052086	47.531513	203.483337	218.404434	105.907295
829:	0.252604	103.197662	47.760941	204.480484	219.394028	109.878914
830:	0.223958	121.079430	47.730732	202.482300	217.398972	105.905731
831:	0.184896	121.089851	47.435680	205.465118	220.384125	109.870842
832:	0.149740	121.079956	47.760941	202.514069	217.444016	105.916412
833:	0.220313	121.084122	47.760941	204.476059	219.353134	109.870575
834:	0.219271	94.307037	47.726566	202.494797	217.392715	105.920578
835:	0.190104	121.080994	47.730732	204.462769	219.383087	109.864853
836:	0.152865	121.080475	47.760941	202.504440	217.400009	105.897919
837:	0.188542	121.092194	47.435680	205.472931	220.387253	109.867714
838:	0.223958	67.414589	47.738285	203.477097	218.421631	105.912247
839:	0.224740	121.085426	47.406513	205.462509	220.380478	109.868759
840:	0.149740	121.005737	47.793232	202.486465	217.423706	105.913811
