[fangmq@cn18%yhstar memory_latency]$ ./latency 
step:register	 constant	 shared	 local	 global	 texture
96:	0.223177	121.086983	47.738285	203.455215	218.425018	106.062508
97:	0.255729	98.775002	47.553909	205.462509	220.385162	110.021881
98:	0.188542	94.193756	47.727345	202.519547	217.408340	106.075264
99:	0.190885	121.083336	47.730732	204.470581	219.385422	110.027611
100:	0.152604	120.983864	47.552345	202.482559	217.391418	106.066414
101:	0.221354	121.077873	47.760941	204.498184	219.393494	110.030472
102:	0.156771	87.494797	47.531513	203.491684	218.407043	106.075005
103:	0.253125	103.742455	47.793232	204.455475	219.380478	109.990372
104:	0.149740	121.084122	47.760941	202.483337	217.411987	106.042450
105:	0.191667	113.160942	47.789066	205.459381	220.397675	109.997925
106:	0.194271	121.080734	47.760941	202.529434	217.391937	106.044014
107:	0.151823	116.612770	47.730732	204.492203	219.388290	109.991936
108:	0.158854	67.369278	47.727345	203.465637	218.396103	106.038025
109:	0.220313	121.080215	47.760941	204.484650	219.371887	109.992195
110:	0.153906	121.079956	47.760941	202.512772	217.406006	106.037766
111:	0.190885	121.027351	47.789066	204.469025	219.392715	109.992455
112:	0.156771	121.091675	47.738285	203.516678	218.380478	106.033859
113:	0.221354	112.160164	47.760941	204.464600	219.399750	109.992455
114:	0.151302	67.314590	47.726566	202.536728	217.409653	106.037506
115:	0.157292	121.091675	47.734116	205.457306	220.386993	110.002090
116:	0.158854	121.091675	47.552345	203.501053	218.397934	106.042717
117:	0.191927	86.885162	47.730732	204.477097	219.421112	109.992455
118:	0.198177	121.079430	47.789066	202.481262	217.404175	106.026566
119:	0.182813	121.090630	47.738285	205.464600	220.391418	110.003128
120:	0.157292	85.790627	47.738285	203.497925	218.399490	106.025009
121:	0.220313	89.730995	47.789066	205.443756	220.395844	109.998962
122:	0.158854	121.094017	47.714848	203.498962	218.398712	106.047920
123:	0.157292	121.036461	47.734116	205.457306	220.398193	109.993759
124:	0.182813	120.941154	47.727345	203.491150	218.386215	106.036461
125:	0.221354	121.079956	47.760941	204.473190	219.384384	109.991936
126:	0.225000	121.081253	47.760941	202.516937	217.402100	106.041931
127:	0.221354	116.713806	47.730732	204.481522	219.336212	109.983597
128:	0.257812	120.547661	47.730732	202.516678	217.698975	106.014069
129:	0.190104	121.078392	47.730732	204.492981	219.391159	109.958076
130:	0.158854	121.080734	47.738285	202.508606	217.300018	106.020576
131:	0.190625	121.084641	47.760941	204.486984	219.387512	109.963028
132:	0.191406	67.539589	47.726566	202.507034	217.407043	106.016411
133:	0.252083	121.094795	47.435680	205.465118	220.261215	109.977089
134:	0.225000	121.082039	47.760941	202.501053	217.404694	106.012245
135:	0.152604	121.080215	47.730732	204.451050	219.393494	109.964851
136:	0.152604	85.236465	47.760941	202.506516	217.260956	106.008080
137:	0.157292	80.747917	47.738285	205.468765	220.408340	109.961205
138:	0.191406	121.076828	47.760941	202.513809	217.411209	106.014328
139:	0.222135	121.089066	47.734116	205.466675	220.273453	109.971878
140:	0.150000	121.080215	47.760941	202.495056	217.404953	106.011986
141:	0.188542	89.826828	47.760941	204.486725	219.392975	109.957558
142:	0.284375	121.089066	47.552345	203.515381	218.255219	106.014069
143:	0.221354	121.022141	47.789066	204.483597	219.392715	109.955734
144:	0.191406	121.077873	47.738285	202.481262	217.414337	106.009117
145:	0.152604	121.090889	47.567711	205.456268	220.236984	109.970581
146:	0.186458	67.323441	47.738285	203.524750	218.404694	106.014069
147:	0.157292	94.168755	47.435680	205.459381	220.386734	109.959122
148:	0.225000	121.071617	47.760941	202.491409	217.257568	106.002869
149:	0.150000	121.080475	47.760941	204.473190	219.392715	109.967712
150:	0.153906	121.042458	47.730732	202.498184	217.396881	106.014847
151:	0.149740	121.081253	47.760941	204.491943	219.282822	109.964325
152:	0.154167	85.849487	47.531513	202.485428	217.404434	106.005997
153:	0.188542	121.074745	47.760941	204.491409	219.385422	109.958076
154:	0.191406	121.085159	47.726566	202.509644	217.317719	106.020576
155:	0.151823	121.078911	47.760941	204.457306	219.379959	109.969536
156:	0.185938	121.086464	47.531513	203.507568	218.382568	106.012764
157:	0.157292	80.723701	47.738285	205.461990	220.332565	109.969795
158:	0.160156	76.264587	47.552345	203.494797	218.403915	106.010422
159:	0.222396	121.087242	47.730732	205.458862	220.376053	109.978134
160:	0.191406	121.072922	47.531513	202.454178	217.406006	106.003387
161:	0.220573	121.075264	47.760941	204.475784	219.397400	109.965370
162:	0.149740	121.063805	47.760941	202.496109	217.392456	106.003654
163:	0.152083	121.082298	47.738285	204.518234	219.362518	109.967972
164:	0.151302	67.430992	47.789066	202.476059	217.395584	106.004951
165:	0.222396	121.083076	47.756775	204.471100	219.365372	109.961723
166:	0.223177	103.693237	47.552345	203.482819	218.420837	106.013023
167:	0.190885	121.090111	47.553909	205.460434	220.392456	109.962509
168:	0.157292	121.086983	47.531513	203.497925	218.382050	106.008080
169:	0.152604	121.075264	47.738285	204.471619	219.395584	109.963028
170:	0.223958	85.197144	47.552345	202.531525	217.405746	106.005211
171:	0.186719	67.254173	47.435680	205.513809	220.375275	109.940628
172:	0.191406	121.074745	47.726566	202.499222	217.404953	105.971100
173:	0.150000	121.077347	47.730732	204.459122	219.389328	109.936203
174:	0.252083	121.042976	47.760941	202.507568	217.396103	105.969017
175:	0.153385	121.080994	47.760941	204.496109	219.399750	109.935165
176:	0.219271	121.073708	47.726566	202.495056	217.382568	105.982040
177:	0.155990	121.089592	47.738285	205.463547	220.400528	109.933601
178:	0.253385	58.502346	47.726566	202.478394	217.419540	105.972137
179:	0.222135	121.090111	47.738285	205.473450	220.387253	109.937767
180:	0.152604	121.078911	47.738285	202.509125	217.386993	105.972664
181:	0.152604	112.176826	47.756775	204.472672	219.395844	109.925529
182:	0.156771	121.034378	47.738285	203.488556	218.409653	105.973961
183:	0.254948	121.091675	47.435680	205.482300	220.373703	109.938545
184:	0.151302	121.092712	47.531513	203.498962	218.398453	105.980476
185:	0.222135	107.643753	47.738285	205.463547	220.399750	109.939590
186:	0.187500	58.285160	47.738285	203.508347	218.359650	105.977089
187:	0.189323	89.659897	47.756775	204.464066	219.391678	109.929436
188:	0.185938	121.091675	47.738285	203.511475	218.400009	105.959122
